,sex,age,dorm_select,college_of,personality,weekend_stay,weekday_stay,smoke,alchol,m_how_eat,how_eat_in,wake_up,m_sleep,sleep_sensitive,sleep_habit,clean_period,shower_timezone,w_age_range,w_diff_college_of,w_personality,w_weekend_stay,w_weekday_stay,w_smoke,w_alchol,w_how_eat,w_how_eat_in,w_wake_up,w_sleep,w_sleep_sensitive,w_sleep_habit,w_clean_period,w_shower_timezone,default_cluster,age_cluster,college_of_cluster,personality_cluster,weekend_stay_cluster,weekday_stay_cluster,smoke_cluster,alchol_cluster,m_how_eat_cluster,how_eat_in_cluster,wake_up_cluster,m_sleep_cluster,sleep_sensitive_cluster,sleep_habit_cluster,clean_period_cluster,shower_timezone_cluster
81,1,2,1,0,1,2,2,2,2,2,2,3,3,1,3,1,2,2,2,1,2,2,0,0,0,2,3,3,1,1,3,1,5,4,7,5,6,0,7,5,4,0,1,0,4,5,0,6
82,2,0,1,5,1,1,1,2,3,2,2,3,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,8,1,2,6,0,7,2,6,0,8,8,2,0,8,6,7
83,1,1,2,4,1,2,2,1,3,1,2,4,3,1,2,1,2,0,0,1,0,0,0,0,0,0,4,3,1,1,1,0,3,3,4,8,3,3,3,3,3,4,3,3,3,3,7,3
84,1,5,2,7,1,1,1,1,2,2,1,3,2,2,1,2,1,0,1,2,0,0,1,1,2,0,2,2,2,1,2,1,4,3,4,3,5,3,3,7,3,4,3,3,3,6,5,3
85,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,2,1,1,0,1,0,1,1,0,0,2,2,1,0,0,2,2,1,5,3,1,1,4,4,1,1,3,1,4,6,0,3,1
86,1,1,2,5,2,1,1,1,1,2,2,3,2,2,2,1,2,2,1,2,2,2,1,0,2,0,3,2,1,1,1,1,4,3,4,3,3,3,3,3,3,4,3,3,3,3,7,3
87,1,2,1,7,2,2,2,1,2,2,2,1,2,1,1,2,2,0,0,2,0,0,1,1,2,0,2,2,1,0,1,2,1,5,3,1,1,4,4,1,1,3,1,4,6,0,3,5
88,1,1,2,7,2,1,1,2,1,2,1,1,2,1,1,3,2,2,1,2,0,0,1,1,2,0,1,2,1,0,3,1,4,3,4,3,5,3,8,7,3,4,3,3,3,3,7,3
89,2,2,1,6,1,1,1,1,2,1,2,2,1,1,3,2,2,2,0,0,0,2,1,0,0,2,2,1,1,0,2,0,0,6,5,2,0,1,2,0,5,5,2,7,8,2,1,0
90,2,3,2,4,1,1,2,1,2,1,2,2,2,2,1,2,1,3,1,1,1,2,1,2,1,2,2,2,1,0,2,1,2,0,6,0,2,2,1,2,2,1,5,6,2,4,4,2
91,2,2,2,11,2,2,1,2,2,3,2,1,1,1,3,2,2,2,2,2,1,0,1,2,1,2,1,2,1,0,2,1,2,0,6,0,2,2,8,2,2,1,6,6,2,4,4,4
92,1,1,1,6,2,1,1,1,1,1,2,1,1,2,3,2,1,1,0,0,0,2,1,0,0,2,0,1,0,0,2,0,1,2,3,1,1,6,4,1,1,3,1,7,1,0,3,1
93,2,3,1,0,2,2,2,1,1,2,1,1,1,2,3,2,1,0,0,2,0,0,1,1,0,1,1,1,0,0,2,2,0,6,5,2,0,1,2,0,5,2,7,7,8,2,1,0
94,2,2,2,2,1,1,1,1,3,2,2,1,2,1,1,2,2,2,1,2,2,1,1,1,1,0,2,1,1,0,2,1,2,0,6,0,2,2,1,2,2,1,6,6,2,4,4,2
95,2,1,2,4,1,2,2,1,3,1,1,2,2,2,3,2,1,3,1,1,1,0,1,2,1,1,2,2,1,2,2,2,2,0,6,0,2,2,1,2,2,1,5,6,2,4,4,2
96,1,2,1,5,1,2,2,1,2,2,1,2,1,1,3,2,2,0,0,0,0,0,1,0,0,0,2,1,0,1,2,0,1,5,3,1,1,6,4,1,1,3,4,7,6,0,3,5
97,2,2,2,7,2,2,2,1,2,1,2,1,2,1,2,2,1,3,1,1,2,1,1,2,1,2,1,2,1,0,2,2,2,0,6,0,2,2,1,2,2,1,6,6,2,4,4,2
98,2,6,2,1,1,2,2,1,1,1,2,2,3,1,1,2,1,3,1,1,1,1,1,2,1,2,1,2,1,0,2,1,7,8,1,7,4,8,1,2,2,7,5,1,2,4,4,4
99,1,2,1,5,2,2,1,1,1,2,2,1,3,2,1,2,2,3,1,1,1,2,1,1,1,1,1,3,1,0,2,1,1,2,3,1,1,6,4,1,1,3,1,0,1,0,3,5
100,2,4,1,3,2,1,1,1,1,1,2,2,3,1,3,2,2,0,0,1,0,0,1,1,0,2,2,3,0,0,2,1,0,6,5,2,8,1,2,0,8,5,2,5,8,2,1,0
101,2,4,2,0,1,2,1,1,3,1,2,2,3,1,3,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,8,1,7,4,8,6,4,6,6,5,1,5,1,2,8
102,2,2,1,4,1,2,2,1,2,3,1,1,2,1,3,2,2,0,0,0,0,0,1,0,0,2,2,2,0,0,2,1,0,6,5,2,0,1,2,0,5,2,7,2,8,2,1,0
103,2,1,2,0,1,1,2,1,2,1,2,2,2,2,3,1,2,0,0,0,1,1,1,0,0,2,0,2,0,0,1,1,6,7,8,4,7,5,6,4,7,6,5,8,7,1,2,8
104,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,0,0,2,0,1,0,0,0,2,1,2,0,0,1,1,6,7,8,4,7,5,6,4,7,6,6,8,7,1,2,8
105,1,4,1,6,2,1,2,1,1,2,1,2,2,1,3,2,1,3,0,0,0,0,1,0,0,1,2,2,0,1,2,2,1,5,3,1,1,4,4,1,1,3,4,4,6,0,3,1
106,1,3,2,2,1,2,2,1,1,3,1,2,2,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,4,3,5,3,3,7,3,4,3,3,3,6,5,3
107,2,3,1,6,2,2,1,1,1,1,2,1,2,1,3,2,2,2,0,2,0,0,1,0,0,2,1,2,0,0,2,1,0,6,5,2,0,1,2,0,5,5,7,2,8,2,1,0
108,1,1,2,1,1,1,2,1,1,3,1,2,2,2,1,2,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,3,4,3,5,3,3,7,3,4,3,3,3,6,5,3
109,2,2,1,7,1,1,2,2,2,2,2,1,2,1,1,1,2,0,0,0,2,0,0,0,0,0,1,2,1,0,1,0,8,1,2,6,0,7,2,6,0,8,7,2,0,8,6,7
110,1,4,1,2,1,1,2,1,1,3,2,2,2,1,3,2,1,0,0,0,0,1,1,0,0,2,2,2,0,1,2,2,1,5,3,1,1,4,4,1,1,3,4,4,6,0,3,1
111,2,4,1,6,2,1,1,1,1,2,2,1,2,1,2,2,2,0,0,0,2,1,0,2,0,2,1,2,0,0,2,1,0,6,5,2,0,1,2,0,5,5,7,2,8,2,1,0
112,2,2,1,5,2,1,1,1,2,1,2,1,3,1,3,2,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,6,5,2,8,1,2,0,8,5,7,5,8,2,1,0
113,2,1,2,6,2,1,1,1,1,1,2,1,2,1,3,2,2,1,0,0,2,1,1,2,0,2,2,3,0,0,2,0,2,0,6,0,2,2,1,2,2,1,6,6,2,4,4,2
114,2,3,2,6,1,2,1,1,1,2,1,2,3,1,2,3,2,0,1,1,1,0,1,0,0,1,2,3,1,0,3,1,7,8,1,7,4,8,5,4,6,7,5,1,5,7,8,4
115,1,2,1,0,1,1,1,1,1,1,2,2,2,2,3,2,2,2,0,0,2,1,1,0,0,2,2,2,0,0,2,0,1,5,3,1,1,4,4,1,1,3,4,4,1,0,3,5
116,2,4,2,0,1,1,1,1,2,1,2,1,1,2,3,2,1,0,0,2,0,0,1,1,0,2,1,1,0,0,2,2,2,0,6,0,2,2,1,2,2,1,6,6,2,4,4,2
117,2,1,2,7,2,2,2,1,2,1,2,2,2,1,3,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,2,0,6,0,2,2,1,2,2,1,5,6,2,4,4,2
118,2,4,2,7,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,1,1,0,0,0,0,0,2,2,0,1,0,6,7,8,4,7,5,6,4,7,6,5,8,7,1,2,8
119,2,2,1,6,1,1,1,1,1,1,2,2,2,1,3,2,2,0,0,2,0,0,1,0,0,2,2,2,0,0,2,1,0,6,5,2,0,1,2,0,5,5,2,2,8,2,1,0
120,2,3,2,11,1,1,1,1,2,1,1,1,2,2,1,3,2,0,0,0,0,0,1,0,0,0,1,2,0,0,3,0,6,0,8,0,2,2,5,2,7,1,6,6,7,7,8,2
121,2,5,2,1,1,1,1,1,1,1,1,1,2,1,3,2,2,3,0,0,0,0,1,0,0,0,1,2,0,1,2,1,2,0,6,0,2,2,1,2,2,1,6,6,2,4,4,2
122,2,1,2,2,2,2,2,1,3,2,2,2,3,1,1,2,2,1,0,0,0,1,0,0,0,2,0,3,1,0,2,0,7,8,1,7,4,8,1,2,2,7,5,1,2,4,4,4
123,2,2,2,2,1,2,1,1,2,1,2,2,3,1,1,1,1,0,0,0,0,0,1,0,0,2,2,3,1,0,1,0,7,8,1,7,4,8,6,4,6,6,5,1,5,1,2,8
124,2,3,1,12,2,1,2,1,1,1,1,2,2,1,3,2,2,2,0,0,0,1,1,0,0,0,2,2,1,1,2,1,0,6,5,2,0,1,2,0,5,2,2,2,8,2,1,0
125,2,1,2,7,1,2,1,1,2,2,2,2,2,1,2,1,2,0,0,0,0,0,1,2,0,2,2,2,0,0,1,0,6,7,8,4,7,5,6,4,7,6,5,8,7,1,2,8
126,2,2,1,5,1,2,2,1,2,1,2,3,3,1,3,2,2,2,0,2,2,1,1,0,0,2,0,3,0,0,2,1,0,6,5,2,8,1,2,0,8,5,8,5,8,2,1,0
127,2,3,2,5,2,1,1,1,1,2,1,2,2,1,1,2,1,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,2,0,6,0,2,2,1,2,2,1,5,6,2,4,4,2
128,2,1,2,11,1,2,1,1,2,1,2,1,2,2,1,3,1,0,1,0,1,1,1,2,0,0,1,2,0,0,3,2,6,0,8,0,2,2,5,2,7,1,6,6,7,7,8,2
129,1,1,1,2,2,1,1,1,1,3,1,2,2,1,3,2,1,0,0,0,2,1,1,2,0,0,2,2,0,0,2,2,1,5,3,1,1,4,4,1,1,3,4,4,6,0,3,1
130,2,1,2,11,1,2,2,1,1,2,1,2,3,1,2,3,1,0,1,0,1,0,1,1,0,1,0,0,1,0,3,0,7,8,1,7,4,8,5,4,6,7,5,1,5,7,8,4
131,2,2,2,11,2,1,2,1,1,1,2,2,2,2,1,1,2,2,0,0,2,1,1,1,0,2,2,2,2,0,1,0,6,7,8,4,7,5,6,4,7,6,5,8,7,1,2,8
132,2,3,1,5,2,1,1,1,1,1,2,2,2,1,3,2,1,0,2,0,2,0,1,1,0,2,2,0,1,0,2,2,0,6,5,2,0,1,2,0,5,5,2,2,8,2,1,0
133,2,2,2,7,1,1,2,1,2,1,2,3,3,1,1,1,2,0,1,0,0,0,1,0,0,2,3,3,0,0,1,0,7,8,1,7,4,8,6,4,6,6,0,1,5,1,2,4
134,1,5,1,2,1,1,1,1,1,1,2,1,1,2,3,2,1,0,0,1,0,0,1,1,0,2,1,1,2,1,2,2,1,2,3,1,1,6,4,1,1,3,1,7,1,0,3,1
135,2,2,1,0,1,2,1,1,2,1,1,3,3,1,3,3,2,1,0,0,1,0,1,0,0,1,3,3,0,0,0,1,8,1,2,6,8,7,2,6,8,2,8,5,0,8,6,7
136,2,2,1,9,2,1,1,1,1,3,2,2,2,1,2,1,1,0,0,2,0,0,1,0,0,2,0,2,0,2,1,2,8,1,2,6,0,7,2,6,0,8,2,2,0,8,6,7
137,1,1,1,8,2,1,2,1,1,1,2,2,2,2,2,2,1,1,0,0,0,0,1,0,0,2,0,2,2,2,2,2,1,5,3,1,1,4,4,1,1,3,4,4,1,0,3,1
138,2,2,2,7,1,2,2,1,1,1,2,3,3,1,3,3,2,0,0,0,0,0,1,0,0,2,3,3,0,0,3,0,7,8,1,7,4,8,5,4,6,7,0,1,5,7,8,4
139,1,2,1,8,1,1,1,1,2,1,2,2,2,1,3,1,2,0,0,1,0,0,1,0,0,2,2,2,0,1,0,0,5,4,0,5,6,0,0,8,4,0,4,4,6,5,0,6
140,1,3,1,1,1,2,2,1,3,1,2,2,3,1,1,2,1,0,0,0,1,0,0,0,0,0,2,3,0,0,2,0,1,2,3,1,1,6,4,1,1,3,4,0,4,0,3,1
141,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2,3,2,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,5,5,0,5,1,4,4,8,1,0,4,4,6,5,0,5
142,2,1,1,9,2,1,1,1,2,1,2,2,3,1,3,1,2,1,0,1,2,0,1,0,0,2,2,3,0,1,1,1,8,1,2,6,8,7,2,6,0,8,2,5,0,8,6,7
143,2,5,2,7,1,1,1,1,1,1,2,1,2,1,2,2,2,0,0,0,0,0,1,0,0,0,1,2,1,0,2,0,2,0,6,0,2,2,1,2,2,1,6,6,2,4,4,2
144,1,4,1,1,1,1,2,2,2,2,1,1,1,2,3,2,1,3,0,0,2,1,0,1,0,0,1,1,0,0,2,2,1,2,7,1,1,6,7,5,1,3,1,7,1,0,3,1
145,2,5,2,7,2,2,2,1,1,1,2,1,2,1,2,1,2,0,0,2,1,1,0,0,0,2,1,2,1,0,1,1,6,7,8,4,7,5,6,4,7,6,6,8,7,1,2,8
146,1,1,1,7,1,1,1,1,3,1,2,3,2,1,2,3,1,0,0,1,0,0,1,0,0,2,0,0,1,0,2,0,5,5,0,5,1,4,4,8,1,0,1,4,6,5,0,6
147,2,2,1,3,2,1,2,1,1,2,1,1,2,1,3,1,1,0,0,0,2,1,1,1,0,0,1,2,0,0,1,0,8,1,2,6,0,7,2,6,0,2,7,2,0,8,6,7
148,2,1,2,5,1,1,2,1,3,1,2,3,2,1,1,3,2,0,1,0,2,0,1,1,3,0,4,2,0,0,0,1,6,0,8,0,2,2,5,2,7,1,0,6,7,7,8,2
149,1,1,1,6,1,1,2,1,1,3,2,3,2,1,3,2,2,2,0,2,0,1,1,0,0,0,0,0,0,0,2,0,1,5,3,1,1,4,4,1,1,3,1,4,6,0,3,5
150,2,2,2,4,2,2,1,1,1,3,2,2,2,1,1,2,2,0,0,2,1,1,1,0,0,2,2,2,0,0,2,1,2,0,6,0,2,2,1,2,2,1,5,6,2,4,4,2
151,2,1,2,2,1,2,1,1,3,1,2,2,3,1,1,1,2,0,1,0,1,1,0,0,0,2,2,3,1,0,1,1,7,8,1,7,4,8,6,4,6,6,5,1,5,1,2,8
152,2,4,1,5,1,2,2,1,1,1,2,1,2,1,3,2,1,0,0,1,0,0,0,0,0,2,1,2,1,1,2,2,0,6,5,2,0,1,2,0,5,5,7,2,8,2,1,0
153,1,1,1,1,2,2,2,1,2,3,2,1,2,1,3,2,2,0,0,1,0,0,1,2,0,0,1,2,0,0,2,0,1,5,3,1,1,4,4,1,1,3,1,4,6,0,3,5
154,2,4,2,5,2,2,2,1,1,3,2,3,2,1,1,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,6,7,8,4,7,5,6,4,7,6,0,8,7,1,2,8
155,2,1,1,4,2,2,2,1,1,1,1,2,2,1,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,6,5,2,0,1,2,0,5,2,2,2,8,2,1,0
156,2,2,2,2,1,2,2,1,3,3,2,2,2,1,1,1,2,0,1,0,1,0,1,0,0,2,2,2,0,0,1,1,6,7,8,4,7,5,6,4,7,6,5,8,7,1,2,8
157,2,3,2,0,2,2,2,1,3,2,2,1,2,1,3,2,1,0,0,2,0,1,1,2,0,2,1,2,1,0,2,0,2,0,6,0,2,2,1,2,2,1,6,6,2,4,4,2
158,2,3,1,6,1,2,2,2,2,2,1,2,2,1,3,3,2,3,0,0,0,0,0,0,0,0,0,2,0,0,3,0,8,1,2,6,0,7,2,6,0,2,2,2,0,8,6,7
159,2,0,2,6,1,1,1,1,3,2,2,1,2,1,1,1,1,0,1,0,0,2,1,0,0,2,1,2,0,0,1,2,6,7,8,4,7,5,6,4,7,6,6,8,7,1,2,8
160,2,5,1,8,2,1,1,1,1,2,1,1,2,2,3,2,1,0,0,2,0,0,1,0,0,0,1,2,2,0,0,0,0,6,5,2,0,1,2,0,5,2,7,2,8,2,1,0
161,2,1,2,8,2,2,2,1,1,3,2,2,3,2,3,1,1,0,1,0,1,1,1,1,0,2,2,3,2,0,1,0,7,8,1,7,4,8,6,4,6,6,5,1,5,1,2,8
162,2,2,1,3,2,1,2,1,1,1,2,1,2,1,3,2,1,0,0,0,2,1,1,1,0,2,1,2,1,0,2,2,0,6,5,2,0,1,2,0,5,5,7,2,8,2,1,0
163,2,4,2,1,2,1,1,1,1,1,2,1,2,1,3,1,2,0,0,0,0,0,1,0,0,2,1,2,1,0,1,1,6,7,8,4,7,5,6,4,7,6,6,8,7,1,2,8
164,2,4,2,1,1,1,1,1,3,1,2,1,2,1,1,2,2,0,0,0,0,0,1,0,0,2,1,2,1,0,2,0,2,0,6,0,2,2,1,2,2,1,6,6,2,4,4,2
165,1,2,2,2,2,2,2,1,1,3,2,2,1,1,1,2,2,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,4,3,4,8,5,3,3,7,3,4,3,3,3,6,5,3
166,2,2,1,5,2,1,1,1,1,2,2,2,2,2,3,1,2,2,0,2,2,2,1,0,1,2,2,2,2,0,2,1,8,1,2,6,0,7,2,6,0,8,2,2,0,8,6,7
167,1,3,1,7,1,1,2,1,1,2,2,2,2,2,3,1,1,0,0,0,1,0,1,0,0,2,2,2,0,1,1,2,5,4,0,5,6,0,0,8,4,0,4,4,1,5,0,6
168,2,4,1,5,2,2,2,1,1,2,2,2,2,1,3,2,2,0,0,0,0,0,1,1,0,2,2,2,0,0,2,1,0,6,5,2,0,1,2,0,5,5,2,2,8,2,1,0
169,2,3,1,7,2,2,2,1,1,2,2,2,3,1,3,1,2,2,0,0,0,0,0,0,1,2,2,3,0,0,1,1,8,1,2,6,8,7,2,6,0,8,2,5,0,8,6,7
170,1,4,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,3,0,2,0,0,1,0,0,1,2,2,1,0,1,2,5,4,0,5,6,0,0,8,4,0,4,4,6,5,0,6
171,2,3,1,2,2,2,1,1,1,2,2,2,3,1,3,2,1,0,0,0,0,0,1,1,0,2,2,3,0,1,2,0,0,6,5,2,8,1,2,0,8,5,2,5,8,2,1,0
172,2,2,1,5,2,2,1,1,1,2,2,2,3,1,3,1,2,0,0,0,0,0,1,1,0,2,2,3,1,1,1,0,8,1,2,6,8,7,2,6,0,8,2,5,0,8,6,7
173,1,5,1,11,2,1,2,1,1,2,2,1,3,1,3,2,1,3,0,2,0,0,1,1,0,0,1,3,0,1,2,2,1,2,3,1,1,6,4,1,1,3,1,0,4,0,3,1
174,1,4,1,1,2,2,2,1,2,2,2,2,2,1,3,1,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,5,4,0,5,6,0,0,8,4,0,4,4,6,5,0,6
175,2,2,1,5,2,1,1,1,1,2,2,1,1,1,3,2,2,2,0,0,0,1,1,0,0,2,1,2,0,1,2,1,0,6,5,2,0,1,2,0,5,5,7,7,8,2,1,0
176,2,1,1,7,2,2,2,1,1,2,2,2,2,1,3,2,2,1,0,2,0,1,1,0,0,2,2,2,1,1,2,1,0,6,5,2,0,1,2,0,5,5,2,2,8,2,1,0
177,2,1,1,4,1,1,1,1,2,2,2,3,3,1,3,3,1,1,0,2,0,0,1,2,0,2,0,3,0,1,3,0,8,1,2,6,8,7,2,6,8,8,8,5,0,8,6,7
178,2,2,1,5,2,1,2,1,1,2,2,2,3,1,3,2,1,0,0,0,2,0,1,0,0,2,2,3,0,1,2,2,0,6,5,2,8,1,2,0,8,5,2,5,8,2,1,0
179,1,2,1,5,2,2,2,2,1,1,2,1,2,1,3,2,2,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,1,5,7,1,1,4,7,5,1,3,1,4,6,0,3,5
180,1,2,1,7,2,2,2,1,1,1,2,2,2,1,3,2,1,0,2,0,0,1,0,0,0,2,2,2,0,0,2,2,1,5,3,1,1,4,4,1,1,3,4,4,6,0,3,1
181,1,4,1,1,1,2,2,1,1,2,1,2,2,1,3,2,1,0,0,1,0,1,1,0,0,1,2,2,1,0,2,2,1,5,3,1,1,4,4,1,1,3,4,4,6,0,3,1
182,2,2,2,11,1,1,2,1,1,2,2,3,3,1,1,2,2,0,0,0,2,0,0,0,0,0,0,3,1,1,2,1,7,8,1,7,4,8,1,2,6,7,0,1,2,4,4,4
183,1,5,1,11,2,1,1,1,2,2,2,3,3,2,1,2,1,0,2,0,2,2,1,2,3,2,2,0,1,1,2,0,1,2,3,1,1,6,4,1,1,3,1,0,1,0,3,1
184,1,5,2,7,2,1,1,1,1,2,2,1,1,1,3,1,1,0,1,2,2,0,1,1,0,0,0,0,1,0,0,0,4,3,4,8,3,3,3,3,3,4,3,3,3,3,7,3
185,2,4,2,7,1,2,1,1,2,2,2,2,2,1,1,1,1,0,0,1,0,1,1,0,0,2,2,2,1,1,0,0,6,7,8,4,7,5,6,4,7,6,5,8,7,1,2,8
186,1,4,2,11,2,1,1,1,1,1,1,2,2,1,1,2,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,4,3,4,3,5,3,3,7,3,4,3,3,3,6,5,3
